timestamp,rssi,ping,loss,jitter,speed,network_usage,hour,label
2026-03-26 22:23:53.801218,-42,90.4,0.0,79.3,10.43,1181553912,22,1
2026-03-26 22:23:53.801237,-42,16.6,0.0,10.0,10.43,1190623654,22,0
2026-03-26 22:23:53.801256,-43,17.7,0.0,8.2,10.43,1190752345,22,0
2026-03-26 22:23:53.801274,-42,29.6,0.0,49.5,10.43,1190899170,22,1
2026-03-26 22:23:53.801293,-42,21.9,0.0,9.4,10.43,1190933261,22,0
2026-03-26 22:23:53.801311,-42,24.4,0.0,4.0,10.43,1190936549,22,0
2026-03-26 22:23:53.801329,-42,18.7,0.0,6.1,10.43,1190938971,22,0
2026-03-26 22:23:53.801348,-42,14.7,25.0,7.3,11.87,1190979335,22,1
2026-03-26 22:23:53.801367,-42,14.7,0.0,11.0,11.87,1244868637,22,0
2026-03-26 22:23:53.801386,-42,20.2,0.0,15.9,11.87,1252116933,22,0
2026-03-26 22:23:53.801404,-42,142.3,0.0,76.2,11.87,1260552878,22,1
2026-03-26 22:23:53.801424,-42,13.2,0.0,2.5,11.87,1272296200,22,0
2026-03-26 22:23:53.801442,-42,22.9,0.0,39.8,11.87,1285019546,22,1
2026-03-26 22:23:53.801461,-42,17.4,0.0,3.2,11.87,1294568390,22,0
2026-03-26 22:23:53.801479,-42,34.1,0.0,31.4,11.87,1303841831,22,1
2026-03-26 22:23:53.801497,-42,32.5,0.0,22.5,11.87,1311550992,22,0
2026-03-26 22:23:53.801516,-42,21.7,0.0,18.0,11.87,1320453509,22,0
2026-03-26 22:23:53.801534,-42,39.6,0.0,12.7,13.23,1330425008,22,0
2026-03-26 22:23:53.801553,-42,12.9,0.0,2.4,13.23,1361860199,22,0
2026-03-26 22:23:53.801571,-42,29.1,0.0,12.9,13.23,1361876317,22,0
2026-03-26 22:23:53.801590,-42,17.3,0.0,4.9,13.23,1361878784,22,0
2026-03-26 22:23:53.801611,-42,15.1,0.0,4.4,13.23,1361884854,22,0
2026-03-26 22:23:53.801630,-42,12.9,0.0,11.4,13.23,1366740630,22,0
2026-03-26 22:23:53.801649,-42,22.5,0.0,8.1,13.23,1376758245,22,0
2026-03-26 22:23:53.801673,-42,24.7,0.0,16.3,13.23,1383557204,22,0
2026-03-26 22:23:53.801693,-42,26.1,0.0,30.6,13.23,1393991915,22,1
2026-03-26 22:23:53.801711,-42,40.0,0.0,25.8,13.23,1413079615,22,0
2026-03-26 22:23:53.801730,-42,38.7,0.0,20.1,1.1,1428069392,22,1
2026-03-26 22:23:53.801749,-42,314.5,0.0,183.2,1.1,1501939914,22,1
2026-03-26 22:23:53.801768,-42,43.2,0.0,22.2,1.1,1507947438,22,1
2026-03-26 22:23:53.801788,-42,667.5,0.0,435.0,1.1,1522211324,22,1
2026-03-26 22:23:53.801888,-42,257.2,0.0,141.7,1.1,1534645536,22,1
2026-03-26 22:23:53.801907,-42,118.7,0.0,80.3,1.1,1553981012,22,1
2026-03-26 22:23:53.801929,-42,102.1,0.0,58.6,1.1,1569946227,22,1
2026-03-26 22:23:53.801948,-42,21.0,0.0,18.1,1.1,1581383506,22,1
2026-03-26 22:23:53.801967,-42,26.1,0.0,16.6,1.1,1591706381,22,1
2026-03-26 22:23:53.802734,-42,13.6,0.0,6.5,17.06,2098302691,22,0
2026-03-26 22:23:53.801985,-42,109.5,0.0,57.0,1.1,1610561590,22,1
2026-03-26 22:23:53.802004,-42,54.0,0.0,88.9,8.19,1620124462,22,1
2026-03-26 22:23:53.802024,-42,19.6,0.0,9.3,8.19,1687436275,22,1
2026-03-26 22:23:53.802043,-42,13.9,0.0,1.9,8.19,1696911662,22,1
2026-03-26 22:23:53.802062,-42,360.3,0.0,227.9,8.19,1706765012,22,1
2026-03-26 22:23:53.802081,-42,14.2,0.0,5.7,8.19,1709873344,22,1
2026-03-26 22:23:53.802100,-42,11.0,0.0,3.3,8.19,1709924112,22,1
2026-03-26 22:23:53.802118,-42,31.0,0.0,30.1,8.19,1715793005,22,1
2026-03-26 22:23:53.802137,-42,14.1,0.0,5.6,8.19,1715805410,22,1
2026-03-26 22:23:53.802156,-42,14.4,0.0,7.8,8.19,1720582684,22,1
2026-03-26 22:23:53.802175,-42,17.5,0.0,5.2,8.19,1722602681,22,1
2026-03-26 22:23:53.802194,-42,14.3,0.0,6.4,19.26,1722613708,22,0
2026-03-26 22:23:53.802213,-42,33.0,0.0,14.7,19.26,1764379306,22,0
2026-03-26 22:23:53.802232,-42,24.9,0.0,31.3,19.26,1774073498,22,1
2026-03-26 22:23:53.802251,-42,24.9,0.0,4.4,19.26,1782464071,22,0
2026-03-26 22:23:53.802271,-42,23.9,0.0,14.0,19.26,1792331110,22,0
2026-03-26 22:23:53.802289,-42,18.5,0.0,4.6,19.26,1800074467,22,0
2026-03-26 22:23:53.802308,-42,30.1,0.0,16.6,19.26,1809007100,22,0
2026-03-26 22:23:53.802327,-42,25.1,0.0,15.7,19.26,1817764931,22,0
2026-03-26 22:23:53.802345,-42,28.5,0.0,18.7,19.26,1829341514,22,0
2026-03-26 22:23:53.802364,-42,19.4,0.0,16.2,19.26,1841145661,22,0
2026-03-26 22:23:53.802386,-42,45.1,0.0,83.9,17.71,1851564747,22,1
2026-03-26 22:23:53.802406,-42,21.0,0.0,8.0,17.71,1903983981,22,0
2026-03-26 22:23:53.802500,-42,73.1,0.0,158.1,17.71,1914794258,22,1
2026-03-26 22:23:53.802520,-42,21.3,0.0,18.3,17.71,1923049946,22,0
2026-03-26 22:23:53.802538,-42,27.7,0.0,12.6,17.71,1935416000,22,0
2026-03-26 22:23:53.802557,-42,23.6,0.0,13.6,17.71,1949333933,22,0
2026-03-26 22:23:53.802576,-42,19.2,0.0,4.1,17.71,1960483876,22,0
2026-03-26 22:23:53.802595,-42,14.4,0.0,1.0,17.71,1971371304,22,0
2026-03-26 22:23:53.802613,-42,11.5,0.0,2.4,17.71,1982058032,22,0
2026-03-26 22:23:53.802631,-42,68.3,0.0,71.0,17.71,1993762457,22,1
2026-03-26 22:23:53.802650,-42,15.5,0.0,8.4,17.06,2006907919,22,0
2026-03-26 22:23:53.802678,-42,9.4,0.0,3.7,17.06,2064349687,22,0
2026-03-26 22:23:53.802697,-42,15.1,0.0,9.3,17.06,2076532577,22,0
2026-03-26 22:23:53.802715,-42,19.6,0.0,14.6,17.06,2086587238,22,0
2026-03-26 22:23:53.802734,-42,13.6,0.0,6.5,17.06,2098302691,22,0
2026-03-26 22:23:53.802753,-42,93.1,0.0,92.6,17.06,2110225657,22,1
2026-03-26 22:23:53.802771,-42,48.1,0.0,48.9,17.06,2121068671,22,1
2026-03-26 22:23:53.802790,-42,100.5,0.0,47.1,17.06,2127149029,22,1
2026-03-26 22:23:53.802809,-42,28.3,0.0,18.6,17.06,2138808840,22,0
2026-03-26 22:23:53.802828,-42,51.3,0.0,47.2,17.06,2151107689,22,1
2026-03-26 22:23:53.802846,-42,41.6,0.0,35.1,16.81,2161574084,22,1
2026-03-26 22:23:53.802865,-42,17.7,0.0,9.4,16.81,2215914630,22,0
2026-03-26 22:23:53.802883,-42,15.4,0.0,6.9,16.81,2226206633,22,0
2026-03-26 22:23:53.802902,-42,22.9,0.0,14.2,16.81,2235921772,22,0
2026-03-26 22:23:53.802920,-42,35.5,0.0,50.6,16.81,2248719332,22,1
2026-03-26 22:23:53.802939,-42,29.4,0.0,32.9,16.81,2265136922,22,1
2026-03-26 22:23:53.802958,-42,20.6,0.0,12.2,16.81,2277453081,22,0
2026-03-26 22:23:53.802976,-42,12.2,0.0,7.1,16.81,2287237797,22,0
2026-03-26 22:23:53.802995,-42,20.2,0.0,19.3,16.81,2298897855,22,0
2026-03-26 22:23:53.803013,-42,24.5,0.0,16.8,16.81,2312709689,22,0
2026-03-26 22:23:53.803031,-42,14.8,0.0,9.0,11.02,2317452768,22,0
2026-03-26 22:23:53.803050,-42,120.2,25.0,115.2,11.02,2375013642,22,1
2026-03-26 22:23:53.803070,-42,63.6,25.0,82.3,11.02,2393734023,22,1
2026-03-26 22:23:53.803088,-42,12.5,0.0,5.2,11.02,2407060358,22,0
2026-03-26 22:23:53.803107,-42,37.6,0.0,25.1,11.02,2422636146,22,0
2026-03-26 22:23:53.803126,-42,31.6,0.0,10.1,11.02,2444998181,22,0
2026-03-26 22:23:53.803144,-42,28.7,0.0,29.0,11.02,2448963818,22,0
2026-03-26 22:23:53.803163,-42,21.9,0.0,6.5,11.02,2456618771,22,0
2026-03-26 22:23:53.803181,-42,32.9,0.0,16.1,11.02,2468213242,22,0
2026-03-26 22:23:53.803200,-42,27.6,0.0,16.4,11.02,2488733157,22,0
2026-03-26 22:23:53.803218,-42,39.9,0.0,14.4,7.01,2511688267,22,1
2026-03-26 22:23:53.803237,-42,213.7,0.0,422.2,7.01,2614096327,22,1
2026-03-26 22:23:53.803256,-42,24.3,0.0,13.2,7.01,2628752574,22,1
2026-03-26 22:23:53.803275,-42,42.8,0.0,40.4,7.01,2643528304,22,1
